temp,dwpt,rhum,prcp,snow,wdir,wspd,wpgt,pres,tsun,coco,year,date,location
2.8,-9.2,41.0,0.0,nan,310.0,14.8,nan,1026.8,nan,nan,1983,1983-2-27, Richmond
19.4,18.2,93.0,nan,nan,160.0,10.8,nan,1011.4,nan,nan,1983,1983-4-10, Darlington
25.6,13.5,47.0,nan,nan,180.0,14.8,nan,1016.1,nan,nan,1983,1983-5-1, Talladega
24.4,7.9,35.0,0.0,nan,170.0,14.8,nan,1015.6,nan,nan,1983,1983-5-7, Nashville Fgds
23.9,11.6,46.0,0.0,nan,170.0,11.2,nan,1014.6,nan,nan,1983,1983-5-29, Charlotte
22.8,12.1,51.0,nan,nan,310.0,16.6,nan,1012.3,nan,nan,1983,1983-6-5, Riverside
26.1,11.8,41.0,nan,nan,40.0,14.8,nan,1017.1,nan,nan,1983,1983-6-19, Michigan
28.9,24.5,77.0,0.0,nan,250.0,5.4,nan,1015.8,nan,nan,1983,1983-7-16, Nashville Fgds
31.1,15.5,39.0,nan,nan,70.0,13.0,nan,1019.5,nan,nan,1983,1983-7-31, Talladega
28.3,18.4,55.0,nan,nan,310.0,9.0,nan,1017.1,nan,nan,1983,1983-8-21, Michigan
30.0,18.8,51.0,nan,nan,180.0,9.0,nan,1016.3,nan,nan,1983,1983-9-5, Darlington
30.6,20.5,55.0,0.0,nan,180.0,10.8,nan,1014.2,nan,nan,1983,1983-9-11, Richmond
20.0,8.3,47.0,0.0,nan,360.0,9.4,nan,1023.3,nan,nan,1983,1983-10-9, Charlotte
18.3,4.5,40.0,nan,nan,290.0,13.0,nan,1016.0,nan,nan,1983,1983-11-20, Riverside
5.6,-4.3,49.0,0.0,nan,300.0,31.7,nan,1010.5,nan,nan,1984,1984-2-26, Richmond
18.3,17.1,93.0,nan,nan,180.0,7.6,nan,1006.4,nan,nan,1984,1984-4-15, Darlington
25.6,18.3,64.0,nan,nan,nan,0.0,nan,1012.9,nan,nan,1984,1984-5-6, Talladega
24.4,13.9,52.0,0.0,nan,200.0,24.1,nan,1013.8,nan,nan,1984,1984-5-12, Nashville Fgds
26.7,18.8,62.0,0.0,nan,170.0,13.0,nan,1016.0,nan,nan,1984,1984-5-27, Charlotte
22.8,14.4,59.0,nan,nan,310.0,22.3,nan,1010.6,nan,nan,1984,1984-6-3, Riverside
22.8,17.7,73.0,nan,nan,130.0,11.2,nan,1019.1,nan,nan,1984,1984-6-17, Michigan
28.9,15.4,44.0,0.0,nan,60.0,9.4,nan,1017.0,nan,nan,1984,1984-7-14, Nashville Fgds
26.7,14.5,47.0,nan,nan,nan,0.0,nan,1018.4,nan,nan,1984,1984-9-2, Darlington
21.1,12.3,57.0,0.0,nan,140.0,18.7,nan,1028.2,nan,nan,1984,1984-9-9, Richmond
20.0,15.0,73.0,0.0,nan,40.0,16.6,nan,1028.8,nan,nan,1984,1984-10-7, Charlotte
16.7,8.4,58.0,nan,nan,300.0,11.2,nan,1015.9,nan,nan,1984,1984-11-18, Riverside
11.7,4.0,59.0,0.0,nan,170.0,5.4,nan,1019.2,nan,nan,1985,1985-2-24, Richmond
15.6,14.0,90.0,nan,nan,90.0,13.0,nan,1024.0,nan,nan,1985,1985-4-14, Darlington
21.7,13.9,61.0,nan,nan,nan,0.0,nan,1018.8,nan,nan,1985,1985-5-5, Talladega
23.9,8.3,37.0,0.0,nan,50.0,9.4,nan,1011.5,nan,nan,1985,1985-5-26, Charlotte
20.6,9.5,49.0,nan,nan,310.0,18.4,nan,1014.3,nan,nan,1985,1985-6-2, Riverside
16.1,15.0,93.0,nan,nan,150.0,11.2,nan,1007.8,nan,nan,1985,1985-6-16, Michigan
22.8,22.1,96.0,nan,nan,90.0,7.6,nan,1013.3,nan,nan,1985,1985-7-28, Talladega
24.4,18.8,71.0,nan,nan,310.0,11.2,nan,1015.4,nan,nan,1985,1985-8-11, Michigan
25.6,21.1,76.0,nan,nan,nan,0.0,nan,1015.9,nan,nan,1985,1985-9-1, Darlington
30.0,23.2,67.0,0.0,nan,150.0,0.0,nan,1017.7,nan,nan,1985,1985-9-8, Richmond
16.7,5.0,46.0,0.0,nan,320.0,18.7,nan,1012.7,nan,nan,1985,1985-10-6, Charlotte
18.9,6.0,43.0,nan,nan,320.0,11.2,nan,1014.1,nan,nan,1985,1985-11-17, Riverside
0.0,-2.9,81.0,2.8,nan,70.0,7.6,nan,1017.7,nan,nan,1986,1986-2-23, Richmond
20.6,3.8,33.0,nan,nan,250.0,7.6,nan,1009.5,nan,nan,1986,1986-4-13, Darlington
21.1,-4.2,18.0,nan,nan,20.0,18.4,nan,1022.3,nan,nan,1986,1986-5-4, Talladega
27.8,16.1,49.0,0.0,nan,110.0,7.6,nan,1015.9,nan,nan,1986,1986-5-25, Charlotte
26.7,12.4,41.0,nan,nan,290.0,18.4,nan,1009.3,nan,nan,1986,1986-6-1, Riverside
16.1,12.3,78.0,nan,nan,20.0,13.0,nan,1019.4,nan,nan,1986,1986-6-15, Michigan
32.2,23.2,59.0,nan,nan,290.0,9.4,nan,1013.7,nan,nan,1986,1986-7-27, Talladega
22.2,16.0,68.0,nan,nan,310.0,9.4,nan,1013.4,nan,nan,1986,1986-8-10, Watkins Glen
15.6,15.6,100.0,nan,nan,40.0,16.6,nan,1024.0,nan,nan,1986,1986-8-31, Darlington
20.6,14.5,68.0,0.0,nan,340.0,0.0,nan,1013.2,nan,nan,1986,1986-9-7, Richmond
28.9,20.1,59.0,0.0,nan,230.0,16.6,nan,1012.0,nan,nan,1986,1986-10-5, Charlotte
22.2,10.0,46.0,nan,nan,300.0,18.4,nan,1017.0,nan,nan,1986,1986-11-16, Riverside
18.3,1.3,32.0,0.0,nan,200.0,13.0,nan,1019.6,nan,nan,1987,1987-3-8, Richmond
21.7,11.7,53.0,nan,nan,70.0,13.0,nan,1014.2,nan,nan,1987,1987-3-29, Darlington
21.1,17.7,81.0,nan,nan,70.0,14.8,nan,1012.2,nan,nan,1987,1987-5-3, Talladega
28.9,16.8,48.0,0.0,nan,190.0,11.2,nan,1019.7,nan,nan,1987,1987-5-24, Charlotte
26.1,12.9,44.0,nan,nan,300.0,18.4,nan,1011.2,nan,nan,1987,1987-6-21, Riverside
31.1,20.7,54.0,nan,nan,110.0,27.7,nan,1018.8,nan,nan,1987,1987-7-26, Talladega
18.9,17.7,93.0,nan,nan,350.0,9.4,nan,1007.7,nan,nan,1987,1987-8-10, Watkins Glen
30.6,19.3,51.0,nan,nan,230.0,18.4,nan,1013.4,nan,nan,1987,1987-8-16, Michigan
22.8,22.8,100.0,nan,nan,90.0,18.4,nan,1016.4,nan,nan,1987,1987-9-6, Darlington
23.3,21.7,91.0,3.0,nan,60.0,3.6,nan,1016.1,nan,nan,1987,1987-9-13, Richmond
18.3,9.4,56.0,0.0,nan,100.0,7.6,nan,1027.7,nan,nan,1987,1987-10-11, Charlotte
20.0,13.9,68.0,nan,nan,300.0,9.4,nan,1017.8,nan,nan,1987,1987-11-8, Riverside
11.7,2.2,52.0,0.0,nan,260.0,3.6,nan,999.8,nan,nan,1988,1988-2-21, Richmond
21.7,12.8,57.0,nan,nan,210.0,22.3,nan,1012.5,nan,nan,1988,1988-3-27, Darlington
17.8,2.1,35.0,nan,nan,10.0,7.6,nan,1015.4,nan,nan,1988,1988-5-1, Talladega
27.2,10.4,35.0,0.0,nan,60.0,9.4,nan,1015.9,nan,nan,1988,1988-5-29, Charlotte
24.4,10.7,42.0,nan,nan,290.0,22.3,nan,1013.6,nan,nan,1988,1988-6-12, Riverside
32.2,19.5,47.0,nan,nan,310.0,22.3,nan,1007.7,nan,nan,1988,1988-6-26, Michigan
31.7,22.1,57.0,nan,nan,350.0,7.6,nan,1019.8,nan,nan,1988,1988-7-31, Talladega
28.3,24.3,79.0,nan,nan,240.0,13.0,nan,1017.1,nan,nan,1988,1988-8-14, Watkins Glen
21.7,12.3,55.0,nan,nan,360.0,11.2,nan,1011.4,nan,nan,1988,1988-8-21, Michigan
25.0,24.0,94.0,nan,nan,170.0,7.6,nan,1015.2,nan,nan,1988,1988-9-4, Darlington
22.8,17.7,73.0,0.0,nan,300.0,3.6,nan,1018.6,nan,nan,1988,1988-9-11, Richmond
12.2,5.6,64.0,0.0,nan,120.0,5.4,nan,1022.0,nan,nan,1988,1988-10-9, Charlotte
28.3,4.6,22.0,0.0,nan,310.0,0.0,nan,1011.6,nan,nan,1988,1988-11-6, Phoenix
16.1,4.5,46.0,0.0,nan,190.0,3.6,nan,1017.1,nan,nan,1989,1989-3-26, Richmond
13.3,-4.4,29.0,nan,nan,360.0,11.2,nan,1021.7,nan,nan,1989,1989-4-2, Darlington
18.9,6.7,45.0,nan,nan,300.0,22.3,nan,1016.1,nan,nan,1989,1989-5-7, Talladega
28.3,13.4,40.0,0.0,nan,330.0,16.6,nan,1017.7,nan,nan,1989,1989-5-28, Charlotte
28.9,21.2,63.0,nan,nan,360.0,7.6,nan,1017.9,nan,nan,1989,1989-6-25, Michigan
28.9,27.8,94.0,nan,nan,nan,0.0,nan,1015.1,nan,nan,1989,1989-7-30, Talladega
20.6,17.2,81.0,nan,nan,130.0,9.4,nan,1020.0,nan,nan,1989,1989-8-13, Watkins Glen
21.1,16.7,76.0,nan,nan,190.0,7.6,nan,1016.1,nan,nan,1989,1989-8-20, Michigan
27.8,24.4,82.0,nan,nan,360.0,11.2,nan,1013.9,nan,nan,1989,1989-9-3, Darlington
27.2,20.5,67.0,0.0,nan,180.0,5.4,nan,1012.8,nan,nan,1989,1989-9-10, Richmond
21.1,10.6,51.0,0.0,nan,70.0,13.0,nan,1014.2,nan,nan,1989,1989-10-8, Charlotte
26.1,-1.7,16.0,0.0,nan,200.0,9.4,nan,1011.1,nan,nan,1989,1989-11-5, Phoenix
5.6,-7.3,39.0,0.0,nan,300.0,13.0,nan,1009.6,nan,nan,1990,1990-2-25, Richmond
17.2,16.1,93.0,nan,nan,340.0,11.2,nan,1013.5,nan,nan,1990,1990-4-1, Darlington
16.7,11.6,72.0,nan,nan,330.0,18.4,nan,1014.2,nan,nan,1990,1990-5-6, Talladega
26.7,18.3,60.0,0.0,nan,240.0,20.5,nan,1009.7,nan,nan,1990,1990-5-27, Charlotte
15.0,12.1,83.0,nan,nan,320.0,24.1,nan,1005.6,nan,nan,1990,1990-6-24, Michigan
30.6,17.3,45.0,nan,nan,60.0,11.2,nan,1014.9,nan,nan,1990,1990-7-29, Talladega
22.8,17.7,73.0,nan,nan,50.0,7.6,nan,1017.6,nan,nan,1990,1990-8-12, Watkins Glen
26.7,22.1,76.0,nan,nan,160.0,7.6,nan,1014.5,nan,nan,1990,1990-8-19, Michigan
27.8,17.9,55.0,nan,nan,50.0,7.6,nan,1020.0,nan,nan,1990,1990-9-2, Darlington
21.7,17.3,76.0,0.0,nan,150.0,11.2,nan,1022.0,nan,nan,1990,1990-9-9, Richmond
22.8,10.6,46.0,0.0,nan,130.0,5.4,nan,1020.8,nan,nan,1990,1990-10-7, Charlotte
